RH2M,T2MDEW,QV2M,T2MWET,PS,PSC,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_UV_INDEX,WS50M,WD50M,WSC,LATITUDE,LONGITUDE,Target_Rain
68,18.4,14.47,19.8,1003.1,1004.3,27.7,33.7,20.7,4.56,14.72,186,3.82,19.08,83.81,0
64,17.6,13.38,18.7,1002.5,1003.7,27.4,32.4,21.0,4.55,9.99,321,2.59,19.08,83.81,0
56,14.2,10.81,15.8,1002.8,1004.0,26.1,31.3,18.9,4.97,24.16,57,6.26,19.08,83.81,0
74,18.4,13.79,18.8,1004.0,1005.2,25.5,31.0,19.2,4.64,21.33,188,5.53,19.08,83.81,0
78,19.0,14.25,19.3,1006.2,1007.4,25.2,30.6,20.0,4.37,21.87,215,5.67,19.08,83.81,0
76,18.9,14.22,19.3,1006.3,1007.5,25.6,31.1,20.2,4.72,22.28,198,5.78,19.08,83.81,0
84,19.9,14.73,19.8,1004.8,1006.0,24.5,27.8,20.8,2.36,23.36,193,6.06,19.08,83.81,0
85,20.5,15.39,20.5,1003.7,1004.9,25.0,29.4,20.7,3.73,15.12,197,3.92,19.08,83.81,1
80,19.8,14.74,19.8,1004.0,1005.2,25.3,30.0,20.4,4.59,22.41,207,5.81,19.08,83.81,1
86,20.1,15.0,20.1,1004.6,1005.8,24.4,27.5,20.4,3.16,18.63,198,4.83,19.08,83.81,1
83,19.0,13.85,18.8,1005.7,1006.9,23.7,27.9,19.4,3.33,19.44,309,5.04,19.08,83.81,1
84,16.6,11.76,16.2,1007.7,1008.9,20.9,22.5,17.6,1.89,17.28,348,4.48,19.08,83.81,1
72,16.0,11.77,16.3,1006.7,1007.9,23.4,28.9,16.5,5.19,17.55,258,4.55,19.08,83.81,0
74,17.0,12.63,17.4,1006.9,1008.1,24.1,30.0,17.6,5.41,18.63,202,4.83,19.08,83.81,0
64,14.1,11.11,15.7,1006.9,1008.1,24.4,30.8,16.9,5.75,13.23,10,3.43,19.08,83.81,0
63,13.6,11.03,15.6,1004.9,1006.1,24.5,32.6,16.5,5.89,16.07,30,4.16,19.08,83.81,0
54,13.5,10.62,15.7,1001.8,1003.0,26.4,34.1,17.4,5.99,13.77,77,3.57,19.08,83.81,0
57,14.8,11.55,16.8,1002.4,1003.6,26.9,33.9,19.6,5.98,13.23,96,3.43,19.08,83.81,0
61,16.0,12.57,17.9,1004.2,1005.4,27.2,33.5,19.4,5.99,24.16,139,6.26,19.08,83.81,0
66,16.9,13.6,18.9,1004.8,1006.0,27.2,33.9,19.3,5.86,14.58,47,3.78,19.08,83.81,0
58,12.5,11.95,17.3,1004.2,1005.4,27.2,34.2,19.1,6.26,23.9,139,6.19,19.08,83.81,0
64,16.2,13.59,19.0,1004.6,1005.8,27.7,34.2,20.9,5.85,26.33,151,6.82,19.08,83.81,0
65,17.8,13.8,19.2,1004.8,1006.0,27.7,33.8,20.7,5.77,27.14,175,7.04,19.08,83.81,0
61,16.0,12.54,17.9,1006.7,1007.9,27.2,33.6,20.2,5.99,22.01,170,5.7,19.08,83.81,0
58,14.4,11.35,16.5,1007.3,1008.5,26.4,33.4,18.8,6.09,22.68,184,5.88,19.08,83.81,0
54,12.7,10.84,16.1,1005.8,1007.0,26.8,34.5,17.6,6.03,23.36,162,6.06,19.08,83.81,0
63,16.3,12.85,18.1,1003.0,1004.2,27.0,34.0,18.7,5.29,23.9,168,6.19,19.08,83.81,0
72,19.1,14.72,19.9,1001.7,1002.9,27.0,32.2,21.1,3.93,25.38,194,6.58,19.08,83.81,1
69,17.4,13.75,18.9,1002.8,1004.0,26.6,32.7,20.0,5.26,17.42,61,4.51,19.08,83.81,0
48,10.1,9.48,14.6,1003.5,1004.7,26.5,32.8,18.3,6.34,17.69,21,4.58,19.08,83.81,0
55,13.4,10.68,15.7,1002.9,1004.1,26.2,32.7,18.1,6.25,30.38,145,7.87,19.08,83.81,0
63,15.8,12.48,17.6,1002.0,1003.2,26.5,33.2,18.6,6.02,27.4,158,7.1,19.08,83.81,0
61,15.5,12.52,17.8,1002.2,1003.4,27.1,33.4,19.1,6.03,23.09,188,5.98,19.08,83.81,0
61,15.5,12.45,17.7,1002.0,1003.2,27.0,33.0,19.7,4.54,23.49,167,6.09,19.08,83.81,0
57,15.7,12.81,18.5,1000.8,1002.0,28.6,35.5,20.1,5.87,23.09,169,5.98,19.08,83.81,0
64,18.6,13.97,19.4,1000.7,1001.9,28.1,34.4,21.4,4.94,18.63,183,4.83,19.08,83.81,0
67,19.2,14.46,19.8,1000.4,1001.6,27.9,33.4,21.1,4.37,23.76,177,6.16,19.08,83.81,0
69,19.9,14.97,20.3,1001.5,1002.7,28.0,32.5,22.3,4.69,26.6,175,6.9,19.08,83.81,0
68,20.6,15.73,21.2,1002.6,1003.8,29.1,33.6,23.5,4.22,22.68,183,5.88,19.08,83.81,0
71,20.7,15.86,21.2,1002.2,1003.4,28.5,32.0,22.6,4.67,20.25,224,5.25,19.08,83.81,0
69,19.9,15.62,21.0,1001.0,1002.2,28.7,34.3,22.2,4.42,23.09,228,5.98,19.08,83.81,0
68,20.7,16.13,21.6,1000.9,1002.1,29.5,34.9,22.2,5.25,16.2,172,4.2,19.08,83.81,0
65,20.3,15.97,21.6,1000.9,1002.1,30.1,36.3,23.0,5.85,26.46,174,6.86,19.08,83.81,0
62,19.7,15.93,21.8,1002.4,1003.6,30.9,37.0,23.7,5.83,24.3,175,6.3,19.08,83.81,0
60,19.0,15.32,21.3,1002.7,1003.9,30.8,38.1,23.6,6.18,25.24,169,6.54,19.08,83.81,0
61,18.4,15.14,21.0,1001.8,1003.0,30.3,38.1,22.6,6.54,29.84,171,7.74,19.08,83.81,0
63,19.1,15.1,20.8,1002.1,1003.3,29.7,36.2,22.2,6.45,27.81,166,7.21,19.08,83.81,0
59,18.7,14.97,21.0,1002.8,1004.0,30.7,37.1,22.2,5.87,29.3,175,7.59,19.08,83.81,0
58,19.4,15.05,21.2,1003.7,1004.9,31.1,37.6,23.5,5.93,22.41,172,5.81,19.08,83.81,0
56,19.0,14.54,20.8,1002.6,1003.8,31.1,38.2,23.9,5.59,11.88,111,3.08,19.08,83.81,0
63,19.4,14.57,20.2,1001.9,1003.1,29.1,32.7,24.0,4.31,23.9,304,6.19,19.08,83.81,1
72,20.4,15.53,20.8,1001.9,1003.1,27.9,35.3,22.3,5.54,10.8,192,2.8,19.08,83.81,1
71,20.1,15.51,20.8,1001.2,1002.4,28.1,32.9,21.7,5.33,12.82,196,3.32,19.08,83.81,0
72,20.9,16.2,21.5,1001.6,1002.8,28.6,33.1,22.1,5.27,13.77,189,3.57,19.08,83.81,0
78,21.4,16.84,22.0,1001.6,1002.8,27.9,35.4,22.7,5.3,17.28,197,4.48,19.08,83.81,1
67,20.0,16.1,21.6,1000.1,1001.3,29.7,36.0,23.0,5.99,23.09,162,5.98,19.08,83.81,0
64,19.8,16.21,21.9,999.3,1000.5,30.6,37.2,22.7,6.07,28.08,177,7.28,19.08,83.81,0
59,19.0,15.73,21.8,1000.1,1001.3,31.5,38.6,23.0,6.7,27.68,182,7.18,19.08,83.81,0
53,17.9,14.68,21.3,1001.0,1002.2,32.2,39.2,23.3,6.78,22.82,181,5.91,19.08,83.81,0
45,17.3,13.28,20.8,999.8,1001.0,33.3,39.3,24.7,6.19,20.25,196,5.25,19.08,83.81,0
57,20.2,16.2,22.5,999.5,1000.7,32.6,39.4,26.1,6.0,20.92,320,5.42,19.08,83.81,0
67,21.7,17.26,22.8,1000.5,1001.7,30.9,39.1,24.9,5.85,26.73,273,6.93,19.08,83.81,1
53,18.9,15.13,21.8,1000.1,1001.3,32.7,39.6,25.1,6.2,27.4,164,7.1,19.08,83.81,0
48,17.5,14.27,21.5,999.0,1000.2,33.4,40.0,25.1,6.14,21.74,164,5.64,19.08,83.81,0
50,18.0,14.79,21.8,998.2,999.4,33.3,40.1,24.6,6.38,24.98,177,6.48,19.08,83.81,0
51,19.0,15.07,22.0,999.3,1000.5,33.3,39.2,25.1,5.42,27.0,169,7.0,19.08,83.81,0
54,19.6,15.23,21.8,1000.7,1001.9,32.5,38.7,25.7,5.56,22.01,206,5.7,19.08,83.81,0
61,20.8,16.53,22.5,1001.4,1002.6,31.8,37.7,25.3,5.36,18.63,185,4.83,19.08,83.81,0
54,19.0,15.32,21.9,1000.6,1001.8,32.6,38.8,24.0,6.01,19.98,174,5.18,19.08,83.81,0
60,21.0,16.87,22.9,999.2,1000.4,32.4,38.9,25.2,6.04,24.03,182,6.23,19.08,83.81,0
64,21.2,16.78,22.5,999.9,1001.1,31.2,38.6,25.3,5.81,23.62,219,6.12,19.08,83.81,0
60,20.1,16.0,22.0,999.9,1001.1,31.5,39.8,24.1,6.28,28.49,188,7.38,19.08,83.81,0
58,19.2,15.8,22.0,1001.2,1002.4,31.9,38.1,24.3,5.83,19.44,185,5.04,19.08,83.81,0
55,18.4,15.32,21.8,1001.9,1003.1,32.3,39.9,24.4,6.56,27.27,169,7.07,19.08,83.81,0
52,16.6,15.44,22.3,1000.4,1001.6,33.4,40.8,24.3,6.55,20.79,187,5.39,19.08,83.81,0
47,16.6,13.97,21.3,998.8,1000.0,33.4,40.3,23.4,6.29,21.2,148,5.49,19.08,83.81,0
44,16.8,13.06,20.7,999.3,1000.5,33.4,40.9,24.4,6.07,29.84,195,7.74,19.08,83.81,0
44,16.8,13.59,21.4,999.8,1001.0,34.1,40.7,25.8,6.69,24.03,180,6.23,19.08,83.81,0
46,17.3,13.75,21.2,998.5,999.7,33.5,41.2,25.5,6.39,19.17,188,4.97,19.08,83.81,0
56,20.6,16.78,23.2,997.9,999.1,33.5,40.5,25.4,6.41,28.35,168,7.35,19.08,83.81,0
59,21.4,17.37,23.5,998.9,1000.1,33.2,40.2,25.8,6.33,19.58,182,5.07,19.08,83.81,0
62,21.5,17.24,23.1,999.1,1000.3,32.2,39.7,25.3,6.31,25.92,196,6.72,19.08,83.81,1
57,20.8,16.88,23.2,998.7,999.9,33.3,39.7,25.8,6.17,22.95,166,5.95,19.08,83.81,0
62,22.0,17.65,23.5,998.7,999.9,32.6,38.4,26.2,6.32,20.79,171,5.39,19.08,83.81,0
63,22.0,17.63,23.4,998.8,1000.0,32.3,37.4,26.0,6.26,21.6,179,5.6,19.08,83.81,0
64,22.7,18.34,24.0,997.9,999.1,32.7,39.5,26.8,6.07,18.63,170,4.83,19.08,83.81,0
64,23.2,18.68,24.3,997.2,998.4,33.0,38.4,26.9,6.21,23.9,170,6.19,19.08,83.81,0
69,23.3,18.57,23.9,997.9,999.1,31.6,35.9,27.2,5.37,18.36,171,4.76,19.08,83.81,0
71,23.2,18.55,23.8,998.9,1000.1,31.1,36.1,25.1,5.3,19.58,179,5.07,19.08,83.81,1
70,22.1,17.32,22.7,1000.4,1001.6,30.2,35.3,23.6,6.41,11.74,205,3.04,19.08,83.81,0
68,22.0,17.13,22.6,999.6,1000.8,30.5,35.1,24.2,6.32,16.74,178,4.34,19.08,83.81,1
67,22.1,17.81,23.3,998.6,999.8,31.4,36.5,24.4,6.7,24.84,168,6.44,19.08,83.81,0
67,22.4,18.12,23.6,998.7,999.9,31.7,37.5,23.8,6.65,26.06,172,6.76,19.08,83.81,0
68,23.0,18.51,23.9,998.1,999.3,31.8,38.2,25.7,6.48,38.07,175,9.87,19.08,83.81,1
61,21.8,18.12,24.0,996.3,997.5,33.3,39.3,26.3,6.57,21.06,181,5.46,19.08,83.81,0
63,22.6,19.05,24.7,996.0,997.2,33.6,40.5,25.7,6.6,28.49,168,7.38,19.08,83.81,0
66,24.0,19.71,25.1,997.7,998.9,33.4,40.0,27.6,6.32,20.92,176,5.42,19.08,83.81,0
64,23.6,19.44,25.0,997.2,998.4,33.7,39.2,27.3,6.61,22.95,175,5.95,19.08,83.81,0
69,24.1,19.35,24.6,997.7,998.9,32.3,37.8,27.5,5.87,16.47,163,4.27,19.08,83.81,1
68,23.8,19.06,24.4,997.7,998.9,32.3,37.8,26.2,6.27,11.74,168,3.04,19.08,83.81,0
60,21.7,18.0,24.0,997.5,998.7,33.5,39.2,25.9,6.57,24.98,176,6.48,19.08,83.81,0
59,21.5,18.0,24.1,997.7,998.9,33.8,40.2,25.8,6.8,20.25,175,5.25,19.08,83.81,0
62,21.9,17.87,23.7,997.7,998.9,32.8,40.5,25.8,6.71,21.33,170,5.53,19.08,83.81,0
61,21.6,17.36,23.3,998.7,999.9,32.6,39.3,25.2,6.58,21.87,173,5.67,19.08,83.81,0
60,21.4,17.58,23.6,998.2,999.4,33.1,39.8,25.3,6.91,23.36,165,6.06,19.08,83.81,0
56,20.0,16.6,23.0,997.3,998.5,33.3,39.6,25.6,7.07,23.49,172,6.09,19.08,83.81,0
58,21.4,17.31,23.5,996.9,998.1,33.4,39.9,25.5,6.86,23.22,171,6.02,19.08,83.81,0
59,21.7,17.94,24.0,995.6,996.8,33.7,40.1,26.0,7.01,26.6,167,6.9,19.08,83.81,0
61,22.9,18.46,24.3,995.0,996.2,33.6,40.2,27.4,6.59,35.78,162,9.27,19.08,83.81,0
58,22.1,18.07,24.2,993.5,994.7,34.1,41.0,26.9,6.43,20.92,174,5.42,19.08,83.81,0
52,20.1,16.42,23.2,990.6,991.8,34.3,40.1,27.2,5.16,22.95,32,5.95,19.08,83.81,0
52,19.9,15.12,21.7,987.5,988.7,32.8,35.6,28.5,2.2,34.02,4,8.82,19.08,83.81,0
65,21.7,17.08,22.5,986.7,987.9,31.0,34.7,25.5,4.58,25.52,108,6.61,19.08,83.81,0
51,18.5,14.69,21.4,990.6,991.8,32.7,39.0,24.7,7.27,15.66,78,4.06,19.08,83.81,0
65,22.6,19.5,24.9,993.0,994.2,33.4,40.9,24.8,7.17,27.14,172,7.04,19.08,83.81,0
67,24.5,20.78,25.9,994.4,995.6,34.0,41.0,27.5,6.93,27.94,164,7.24,19.08,83.81,0
66,24.8,20.8,26.0,995.1,996.3,34.3,40.8,27.9,6.7,25.52,169,6.61,19.08,83.81,0
66,24.8,20.43,25.7,996.1,997.3,34.0,40.8,27.7,6.78,27.27,172,7.07,19.08,83.81,0
63,24.1,19.6,25.2,995.9,997.1,34.1,40.0,27.6,6.69,24.84,175,6.44,19.08,83.81,0
62,24.0,19.53,25.2,994.7,995.9,34.3,40.5,28.0,5.99,27.0,180,7.0,19.08,83.81,0
66,24.7,20.48,25.7,993.6,994.8,34.0,40.8,27.9,6.25,25.65,181,6.65,19.08,83.81,1
65,24.8,20.38,25.7,994.6,995.8,34.2,41.0,28.9,5.95,25.79,177,6.68,19.08,83.81,0
66,24.1,19.62,25.0,996.2,997.4,33.3,36.3,27.9,5.14,15.8,181,4.1,19.08,83.81,0
68,24.6,19.97,25.2,997.5,998.7,33.1,36.6,27.3,5.76,21.33,174,5.53,19.08,83.81,0
75,25.1,20.2,25.1,998.2,999.4,31.6,33.5,28.3,3.2,14.44,168,3.74,19.08,83.81,1
71,24.4,19.93,25.0,997.1,998.3,32.3,38.5,27.3,5.54,17.28,197,4.48,19.08,83.81,1
74,24.4,19.97,24.9,996.2,997.4,31.6,37.0,26.4,4.87,20.39,195,5.28,19.08,83.81,1
69,24.0,19.97,25.1,994.9,996.1,32.8,38.5,26.7,5.93,20.92,185,5.42,19.08,83.81,0
68,24.3,20.27,25.4,994.0,995.2,33.3,37.6,27.2,6.16,14.18,192,3.68,19.08,83.81,0
67,23.9,19.98,25.2,993.5,994.7,33.3,38.1,26.8,6.33,23.36,193,6.06,19.08,83.81,0
72,25.2,20.66,25.5,992.6,993.8,32.6,34.4,27.5,5.06,17.55,169,4.55,19.08,83.81,0
70,24.7,20.32,25.3,992.2,993.4,32.8,36.3,27.6,5.15,12.82,251,3.32,19.08,83.81,1
79,25.3,21.17,25.7,992.2,993.4,31.4,37.9,27.3,4.86,18.23,20,4.72,19.08,83.81,1
84,25.8,21.4,25.8,991.0,992.2,30.5,33.9,26.4,4.31,13.77,54,3.57,19.08,83.81,1
86,25.2,20.47,25.0,988.9,990.1,29.3,31.5,25.7,3.59,13.5,140,3.5,19.08,83.81,1
90,25.3,20.83,25.3,987.7,988.9,28.8,30.6,25.3,2.93,9.86,162,2.55,19.08,83.81,1
82,25.1,20.68,25.2,989.3,990.5,30.3,33.7,25.7,4.67,10.94,152,2.83,19.08,83.81,1
82,25.9,21.51,25.9,991.1,992.3,31.0,33.2,26.5,4.65,9.72,183,2.52,19.08,83.81,1
85,26.1,21.67,26.0,990.5,991.7,30.5,32.6,27.0,3.96,15.26,171,3.96,19.08,83.81,1
84,25.6,21.18,25.6,989.9,991.1,30.3,31.9,26.5,3.71,14.04,179,3.64,19.08,83.81,1
80,24.6,19.9,24.6,990.8,992.0,30.1,31.8,26.5,4.14,15.12,192,3.92,19.08,83.81,1
79,24.6,19.75,24.5,991.8,993.0,30.2,32.2,26.0,2.87,14.44,182,3.74,19.08,83.81,1
80,24.8,20.11,24.8,991.9,993.1,30.3,33.7,26.0,5.0,9.86,164,2.55,19.08,83.81,1
80,25.0,20.6,25.2,991.6,992.8,30.7,33.8,26.3,4.35,14.72,114,3.82,19.08,83.81,1
85,25.2,20.45,25.0,989.7,990.9,29.5,30.7,25.9,2.58,15.39,156,3.99,19.08,83.81,1
79,24.7,20.04,24.7,988.6,989.8,30.4,33.2,25.7,5.57,18.5,189,4.79,19.08,83.81,1
79,25.2,20.8,25.4,992.7,993.9,31.1,34.8,25.4,6.13,14.85,186,3.85,19.08,83.81,0
80,25.4,20.89,25.5,994.9,996.1,31.0,33.4,26.4,5.89,17.96,171,4.66,19.08,83.81,1
74,24.2,19.54,24.5,994.8,996.0,31.2,34.8,25.7,6.13,21.6,173,5.6,19.08,83.81,0
75,24.4,19.81,24.7,994.3,995.5,31.2,34.4,25.8,5.83,19.71,179,5.11,19.08,83.81,0
76,24.9,20.33,25.1,993.8,995.0,31.4,35.2,26.6,5.34,11.61,172,3.01,19.08,83.81,0
84,25.7,21.09,25.6,993.7,994.9,30.3,32.9,26.5,4.3,9.86,173,2.55,19.08,83.81,1
84,25.8,21.22,25.7,993.5,994.7,30.4,33.3,26.7,4.17,16.2,173,4.2,19.08,83.81,1
82,25.6,21.09,25.6,993.2,994.4,30.7,34.3,25.8,5.85,17.01,178,4.41,19.08,83.81,1
83,25.2,20.5,25.1,992.7,993.9,30.0,32.6,25.6,5.42,21.74,173,5.64,19.08,83.81,1
85,25.9,21.41,25.8,990.7,991.9,30.3,32.5,25.2,5.84,15.66,170,4.06,19.08,83.81,1
87,26.1,21.81,26.1,989.9,991.1,30.2,34.2,25.9,5.43,14.18,132,3.68,19.08,83.81,1
91,25.7,21.03,25.5,989.1,990.3,28.8,30.1,25.8,3.37,16.07,169,4.16,19.08,83.81,1
89,25.3,20.7,25.2,988.4,989.6,28.9,31.5,25.8,3.17,12.02,168,3.12,19.08,83.81,1
88,24.9,20.21,24.8,989.1,990.3,28.7,30.7,25.2,2.91,13.77,173,3.57,19.08,83.81,1
83,24.8,20.01,24.7,993.2,994.4,29.6,31.9,25.2,3.73,15.93,175,4.13,19.08,83.81,0
83,25.7,21.07,25.6,994.7,995.9,30.5,33.0,25.8,5.14,12.15,175,3.15,19.08,83.81,1
85,25.9,21.24,25.7,993.1,994.3,30.2,33.3,26.1,5.13,19.04,165,4.93,19.08,83.81,1
85,25.5,20.99,25.5,992.9,994.1,30.0,31.8,25.5,5.14,21.06,173,5.46,19.08,83.81,1
85,25.6,21.12,25.6,992.7,993.9,30.1,33.0,25.5,5.26,12.82,156,3.32,19.08,83.81,0
87,26.0,21.36,25.8,993.0,994.2,29.9,32.2,25.9,4.44,14.31,106,3.71,19.08,83.81,1
87,25.7,21.01,25.5,992.0,993.2,29.6,30.8,26.2,3.73,12.02,11,3.12,19.08,83.81,1
92,25.4,20.58,25.2,992.0,993.2,28.3,28.5,25.8,2.41,12.56,158,3.26,19.08,83.81,1
89,25.0,20.17,24.8,990.9,992.1,28.5,29.5,25.3,3.77,21.87,169,5.67,19.08,83.81,1
83,24.5,19.83,24.5,990.4,991.6,29.4,31.3,25.0,5.81,17.14,175,4.44,19.08,83.81,1
88,25.3,20.51,25.1,992.0,993.2,29.0,30.6,25.6,4.27,18.5,172,4.79,19.08,83.81,1
86,25.5,20.97,25.5,994.0,995.2,29.8,31.5,25.7,6.07,21.47,173,5.56,19.08,83.81,1
85,25.6,21.08,25.6,994.4,995.6,30.1,32.9,26.0,5.47,22.01,173,5.7,19.08,83.81,1
85,25.6,20.97,25.5,993.8,995.0,30.0,31.8,26.5,4.86,21.2,179,5.49,19.08,83.81,1
81,25.1,20.42,25.1,995.3,996.5,30.4,33.1,26.3,5.84,18.9,183,4.9,19.08,83.81,1
85,25.6,20.94,25.5,995.3,996.5,30.0,32.1,26.1,3.76,10.8,180,2.8,19.08,83.81,1
93,25.6,20.75,25.4,994.7,995.9,28.3,28.3,25.6,1.79,12.15,164,3.15,19.08,83.81,1
84,24.6,19.96,24.7,995.7,996.9,29.4,32.2,25.2,4.59,18.5,176,4.79,19.08,83.81,0
79,24.3,19.41,24.3,996.9,998.1,30.0,33.0,24.5,6.65,16.74,176,4.34,19.08,83.81,0
78,24.9,20.21,25.0,996.8,998.0,30.9,34.2,25.1,6.69,8.24,182,2.13,19.08,83.81,0
84,26.1,21.69,26.1,995.1,996.3,30.8,33.0,26.5,6.48,13.37,135,3.46,19.08,83.81,0
83,25.7,21.08,25.6,993.9,995.1,30.5,33.9,26.1,6.01,17.28,150,4.48,19.08,83.81,1
80,24.7,20.07,24.8,994.0,995.2,30.3,33.1,25.1,6.41,22.28,168,5.78,19.08,83.81,0
85,25.3,20.59,25.2,994.7,995.9,29.7,33.2,25.3,5.92,20.12,177,5.22,19.08,83.81,1
83,25.2,20.71,25.3,993.9,995.1,30.2,33.2,25.0,5.83,17.69,174,4.58,19.08,83.81,0
85,25.9,21.37,25.8,992.7,993.9,30.3,32.2,25.6,5.41,14.44,171,3.74,19.08,83.81,1
84,26.2,21.66,26.0,990.9,992.1,30.7,32.7,26.0,5.69,10.12,150,2.62,19.08,83.81,1
85,25.8,21.36,25.7,987.6,988.8,30.2,32.1,26.6,4.2,14.99,67,3.88,19.08,83.81,1
90,25.8,21.39,25.7,985.1,986.3,29.2,30.0,26.2,2.55,9.32,104,2.42,19.08,83.81,1
92,25.0,20.26,24.8,984.1,985.3,27.9,28.3,25.3,1.49,13.5,149,3.5,19.08,83.81,1
84,24.6,19.99,24.6,988.7,989.9,29.3,31.9,24.9,4.18,16.2,168,4.2,19.08,83.81,0
83,25.3,20.75,25.3,992.4,993.6,30.2,32.3,25.6,4.46,10.66,171,2.76,19.08,83.81,0
87,25.7,21.02,25.5,991.5,992.7,29.6,32.0,25.6,3.85,8.91,77,2.31,19.08,83.81,1
88,25.6,20.93,25.4,989.7,990.9,29.3,31.1,26.1,3.75,11.88,127,3.08,19.08,83.81,1
85,25.5,20.93,25.4,990.1,991.3,29.9,32.1,25.5,5.72,14.04,161,3.64,19.08,83.81,1
81,24.7,19.9,24.6,991.5,992.7,29.9,32.3,24.9,4.76,11.74,207,3.04,19.08,83.81,0
87,25.6,20.9,25.4,991.4,992.6,29.5,30.9,25.6,4.01,9.72,132,2.52,19.08,83.81,1
90,25.5,20.8,25.3,989.3,990.5,28.8,30.5,25.7,3.34,11.34,131,2.94,19.08,83.81,1
86,24.6,19.76,24.4,988.2,989.4,28.7,30.4,24.8,2.95,14.44,159,3.74,19.08,83.81,1
90,23.9,18.8,23.6,988.6,989.8,27.1,27.6,24.1,1.81,14.44,161,3.74,19.08,83.81,1
90,24.0,19.02,23.8,989.1,990.3,27.3,28.3,24.0,2.34,14.99,158,3.88,19.08,83.81,1
81,23.9,19.14,23.9,989.4,990.6,29.2,31.5,24.7,4.67,14.72,193,3.82,19.08,83.81,0
85,24.2,19.25,24.0,990.6,991.8,28.5,29.1,25.1,2.62,17.28,177,4.48,19.08,83.81,1
87,25.0,20.23,24.8,988.4,989.6,28.9,30.9,25.2,3.07,11.07,128,2.87,19.08,83.81,1
88,24.6,19.76,24.4,987.8,989.0,28.3,30.4,24.7,3.49,18.23,179,4.72,19.08,83.81,1
86,24.5,19.67,24.4,992.9,994.1,28.7,30.8,24.6,4.31,18.5,178,4.79,19.08,83.81,1
